,Name,Author,User Rating,Reviews,Price,Year,Genre,Genre_bin,tokens
313,The Wonky Donkey,Craig Smith,4.8,30183,4,2019,Fiction,1,"['wonky', 'donkey']"
314,The Wright Brothers,David McCullough,4.7,6169,16,2015,Non Fiction,0,"['wright', 'brothers']"
315,"Things That Matter: Three Decades of Passions, Pastimes and Politics [Deckled Edge]",Charles Krauthammer,4.7,7034,15,2013,Non Fiction,0,"['things', 'matter', 'three', 'decades', 'passions', 'pastimes', 'politics', 'deckled', 'edge']"
316,"Thinking, Fast and Slow",Daniel Kahneman,4.6,11034,19,2012,Non Fiction,0,"['thinking', 'fast', 'slow']"
317,Thirteen Reasons Why,Jay Asher,4.5,7932,9,2017,Fiction,1,"['thirteen', 'reasons']"
318,Thomas Jefferson: The Art of Power,Jon Meacham,4.5,1904,23,2012,Non Fiction,0,"['thomas', 'jefferson', 'art', 'power']"
319,Three Cups of Tea: One Man's Mission to Promote Peace - One School at a Time,Greg Mortenson,4.3,3319,11,2010,Non Fiction,0,"['three', 'cups', 'tea', 'one', 'man', ""'s"", 'mission', 'promote', 'peace', 'one', 'school', 'time']"
320,Thug Kitchen: The Official Cookbook: Eat Like You Give a F*ck (Thug Kitchen Cookbooks),Thug Kitchen,4.6,11128,23,2017,Non Fiction,0,"['thug', 'kitchen', 'official', 'cookbook', 'eat', 'like', 'give', 'f*ck', 'thug', 'kitchen', 'cookbooks']"
321,Tina Fey: Bossypants,Tina Fey,4.3,5977,12,2011,Non Fiction,0,"['tina', 'fey', 'bossypants']"
322,To Kill a Mockingbird,Harper Lee,4.8,26234,7,2019,Fiction,1,"['kill', 'mockingbird']"
323,"Tools of Titans: The Tactics, Routines, and Habits of Billionaires, Icons, and World-Class Performers",Timothy Ferriss,4.6,4360,21,2017,Non Fiction,0,"['tools', 'titans', 'tactics', 'routines', 'habits', 'billionaires', 'icons', 'world-class', 'performers']"
324,"Towers of Midnight (Wheel of Time, Book Thirteen)",Robert Jordan,4.8,2282,21,2010,Fiction,1,"['towers', 'midnight', 'wheel', 'time', 'book', 'thirteen']"
325,True Compass: A Memoir,Edward M. Kennedy,4.5,438,15,2009,Non Fiction,0,"['true', 'compass', 'memoir']"
326,"Twilight (The Twilight Saga, Book 1)",Stephenie Meyer,4.7,11676,9,2009,Fiction,1,"['twilight', 'twilight', 'saga', 'book', '1']"
327,Ultimate Sticker Book: Frozen: More Than 60 Reusable Full-Color Stickers,DK,4.5,2586,5,2014,Fiction,1,"['ultimate', 'sticker', 'book', 'frozen', '60', 'reusable', 'full-color', 'stickers']"
328,"Unbroken: A World War II Story of Survival, Resilience, and Redemption",Laura Hillenbrand,4.8,29673,16,2014,Non Fiction,0,"['unbroken', 'world', 'war', 'ii', 'story', 'survival', 'resilience', 'redemption']"
329,Under the Dome: A Novel,Stephen King,4.3,6740,20,2009,Fiction,1,"['dome', 'novel']"
330,Unfreedom of the Press,Mark R. Levin,4.9,5956,11,2019,Non Fiction,0,"['unfreedom', 'press']"
331,Unicorn Coloring Book: For Kids Ages 4-8 (US Edition) (Silly Bear Coloring Books),Silly Bear,4.8,6108,4,2019,Non Fiction,0,"['unicorn', 'coloring', 'book', 'kids', 'ages', '4-8', 'us', 'edition', 'silly', 'bear', 'coloring', 'books']"
332,"Uninvited: Living Loved When You Feel Less Than, Left Out, and Lonely",Lysa TerKeurst,4.7,4585,9,2016,Non Fiction,0,"['uninvited', 'living', 'loved', 'feel', 'less', 'left', 'lonely']"
333,Watchmen,Alan Moore,4.8,3829,42,2009,Fiction,1,['watchmen']
334,Water for Elephants: A Novel,Sara Gruen,4.5,8958,12,2011,Fiction,1,"['water', 'elephants', 'novel']"
335,What Happened,Hillary Rodham Clinton,4.6,5492,18,2017,Non Fiction,0,['happened']
336,What If?: Serious Scientific Answers to Absurd Hypothetical Questions,Randall Munroe,4.7,9292,17,2014,Non Fiction,0,"['serious', 'scientific', 'answers', 'absurd', 'hypothetical', 'questions']"
337,What Pet Should I Get? (Classic Seuss),Dr. Seuss,4.7,1873,14,2015,Fiction,1,"['pet', 'get', 'classic', 'seuss']"
338,What Should Danny Do? (The Power to Choose Series),Adir Levy,4.8,8170,13,2019,Fiction,1,"['danny', 'power', 'choose', 'series']"
339,What to Expect When You're Expecting,Heidi Murkoff,4.4,3341,9,2011,Non Fiction,0,"['expect', ""'re"", 'expecting']"
340,"Wheat Belly: Lose the Wheat, Lose the Weight, and Find Your Path Back to Health",William Davis,4.4,7497,6,2013,Non Fiction,0,"['wheat', 'belly', 'lose', 'wheat', 'lose', 'weight', 'find', 'path', 'back', 'health']"
341,When Breath Becomes Air,Paul Kalanithi,4.8,13779,14,2016,Non Fiction,0,"['breath', 'becomes', 'air']"
342,Where the Crawdads Sing,Delia Owens,4.8,87841,15,2019,Fiction,1,"['crawdads', 'sing']"
343,Where the Wild Things Are,Maurice Sendak,4.8,9967,13,2009,Fiction,1,"['wild', 'things']"
344,Whose Boat Is This Boat?: Comments That Don't Help in the Aftermath of a Hurricane,The Staff of The Late Show with,4.6,6669,12,2018,Non Fiction,0,"['whose', 'boat', 'boat', 'comments', ""n't"", 'help', 'aftermath', 'hurricane']"
345,Wild: From Lost to Found on the Pacific Crest Trail,Cheryl Strayed,4.4,17044,18,2012,Non Fiction,0,"['wild', 'lost', 'found', 'pacific', 'crest', 'trail']"
346,Winter of the World: Book Two of the Century Trilogy,Ken Follett,4.5,10760,15,2012,Fiction,1,"['winter', 'world', 'book', 'two', 'century', 'trilogy']"
347,Women Food and God: An Unexpected Path to Almost Everything,Geneen Roth,4.2,1302,11,2010,Non Fiction,0,"['women', 'food', 'god', 'unexpected', 'path', 'almost', 'everything']"
348,Wonder,R. J. Palacio,4.8,21625,9,2017,Fiction,1,['wonder']
349,Wrecking Ball (Diary of a Wimpy Kid Book 14),Jeff Kinney,4.9,9413,8,2019,Fiction,1,"['wrecking', 'ball', 'diary', 'wimpy', 'kid', 'book', '14']"
350,You Are a Badass: How to Stop Doubting Your Greatness and Start Living an Awesome Life,Jen Sincero,4.7,14331,8,2019,Non Fiction,0,"['badass', 'stop', 'doubting', 'greatness', 'start', 'living', 'awesome', 'life']"
